Comment,Description,Designator,Footprint,LibRef,Quantity

"PTS526SK15SMTR2LFS","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R","BOOT300, RST300, USR300","FP-PTS526SK15SMTR2LFS-MFG","CMP-011-00015-1","3"
"CAP 1uF 10V X7R 0603","Cap Ceramic 1uF 10V X7R 10% SMD 0603 125C Paper T/R","C100, C302, C304","FP-CL10-IPC_B","CMP-001-00085-7","3"
"CAP 4.7uF 50V X7R 1210","CAP CER 4.7UF 50V X7R 1210","C200_A, C200_B, C200_C, C200_D, C200_E, C200_F, C200_G, C301, C602, C603, C605, C606","CAPC3225X20N","CMP-001-00083-3","12"
"CAP 0.1uF 50V X7R 0603","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R","C201_A, C201_B, C201_C, C201_D, C201_E, C201_F, C201_G, C202_A, C202_B, C202_C, C202_D, C202_E, C202_F, C202_G, C300, C303, C305, C306, C307, C401_X, C401_Y, C600, C601","FP-CL10-IPC_B","CMP-001-00084-7","23"
"CAP 4.7uF 0603 6.3V X7R","Cap Ceramic 4.7uF 6.3V X7R 10% SMD 0603 125°C Paper T/R","C400_X, C400_Y","FP-CL10-IPC_C","CMP-001-00101-4","2"
"CAP 22uF 25V 1210 X7R","1210 22 uF 25 V ±20% Tolerance X7R Multilayer Ceramic Chip Capacitor","C604, C607","FP-1210-L_3_2_0_3-W_2_5_0-MFG","CMP-001-00125-1","2"
"CAP 56uF 63V Poly 10mm","Cap Aluminum 56uF 63V 20% (10 X 10.2mm) SMD 0.03 Ohm 1800mA 5000h 105 C Embossed T/R","C700","FP-FKG-MFG","CMP-001-00124-1","1"
"SS14","","D300, D600, D601","SMA","CMP-080-0002-2","3"
"USBLC6-4SC6","ESD Suppressor 15KV 6-Pin SOT-23 T/R - Product that comes on tape, but is not reeled","D500","FP-SOT23-6L-MFG","CMP-004-00040-1","1"
"OLED_1_3_CARRIERBOARD","Use 4 pin header 0901471104 on board","DISP800","OLED_1_3_CARRIERBOARD-Footprint-1","CMP-00028-00008-2","1"
"PJ-0XX","2.0 x 6.5 mm, 2.5 A, Horizontal, Through Hole, Dc Power Jack Connector","J200_A, J200_B, J200_C, J200_D, J200_E, J200_F, J200_G, J701","CUI-PJ-002A_V","CMP-167-0003-2","8"
"M50-3630342R","3 Pos. Male SIL Vertical SMT Conn. RoHS Compliant: Yes","J300","FP-M50-3630342R-MFG","CMP-002-00105-2","1"
"10155435-00011LF","16 Position 5 A USB Right Angle Receptacle Connector","J500","AMPHENOL_10155435-00011LF","CMP-243-000000-3","1"
"DIN4PWR","","J700","PD40S","CMP-167-0005-1","1"
"43045-1001","Connector Wire to Board Header 10 Position 3 mm Solder Right Angle Thru-Hole Micro-Fit 3.0™","J702","FP-43045-1001-MFG","CMP-002-00106-1","1"
"SRR1260-680M","Ind Power Shielded Wirewound 68uH 20% 100KHz 22Q-Factor Ferrite 2.1A T/R","L600","SRR1260-680M-Footprint-1","CMP-006-00034-1","1"
"LED_INDICATOR","","LED200_A, LED200_B, LED200_C, LED200_D, LED200_E, LED200_F, LED200_G, LED300, LED301","LED5MM","CMP-130-0003-6","9"
"NFET","","Q200_A, Q200_B, Q200_C, Q200_D, Q200_E, Q200_F, Q200_G, Q300, Q301, Q302","SOT23-3","CMP-094-0000-1","10"
"100k 0603 1%","SMD Chip Resistor, 100 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose, Res Thick Film 1.6 x 0.8 mm 100K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R","R100, R600","RESC1608-IPC-LL","CMP-009-00222-1, CMP-009-00203-1","2"
"12k 0603 1%","SMD Chip Resistor, 12 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose","R101, R601","RESC1608X55X25LL10T15","CMP-009-00236-1","2"
"10K 0603 1%","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R","R200_A, R200_B, R200_C, R200_D, R200_E, R200_F, R200_G, R300, R301, R302, R303, R306, R307, R309, R310","RESC1608-IPC-ML","CMP-009-00191-4","15"
"4.7k 0603 1%","RES SMD 4.7K OHM 1% 1/10W 0603","R201_A, R201_B, R201_C, R201_D, R201_E, R201_F, R201_G, R202_A, R202_B, R202_C, R202_D, R202_E, R202_F, R202_G, R205_A, R205_B, R205_C, R205_D, R205_E, R205_F, R205_G","RESC1608-IPC-ML","CMP-009-00205-1","21"
"RC0805FR-07470RL","SMD Chip Resistor, 470 Ohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose","R203_A, R203_B, R203_C, R203_D, R203_E, R203_F, R203_G, R204_A, R204_B, R204_C, R204_D, R204_E, R204_F, R204_G","RESC2013X60X35LL10T20","CMP-009-00233-1","14"
"220R 0603 5%","YAGEO - RC0603JR-07220RL - SMD Chip Resistor, 0603 [1608 Metric], 220 ohm, RC Series, 75 V, Thick Film, 100 mW","R206_A, R206_B, R206_C, R206_D, R206_E, R206_F, R206_G, R304, R305","RESC1608-IPC-ML","CMP-009-00183-3","9"
"120R 1210 5%","SMD Chip Resistor, 120 Ohm, ± 5%, 500 mW, 1210 [3225 Metric], Thick Film, General Purpose","R308","RESC3225X70X50LL20T20","CMP-009-00240-1","1"
"AC0402FR-075K1L","SMD Chip Resistor, 5.1 kOhm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose","R500, R501","FP-AC0402-IPC_A","CMP-009-00234-1","2"
"WST-1212UX","Audio Magnetic Xdcr 9-15V Th","SP300","WST-1212UX-Footprint-1","CMP-00027-00003-3","1"
"TPS1H100BQPWPRQ1","Current Limit SW 1-IN 1-OUT 5V to 40V 4A Automotive 14-Pin HTSSOP EP T/R","U200_A, U200_B, U200_C, U200_D, U200_E, U200_F, U200_G","FP-PWP0014C-IPC_C","CMP-024-00009-1","7"
"ESP32-C3-MINI-1-N4","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.412GHz ~ 2.484GHz PCB Trace Surface Mount","U300","XCVR_ESP32-C3-MINI-1-N4","CMP-206-000000-1","1"
"PCA9554APW","I2C/SMBus Interface 100kHz/400kHz 5.5V 16-Pin TSSOP Tube / IC I/O EXPANDER I2C 8B 16TSSOP","U301","PW0016A_L","CMP-015-00016-1","1"
"TCAN1044VDRQ1","R-PDSO-G8 TCAN1044 Tape & Reel (TR) CAN interface transceiver 100mV 4.905mm 5Mbps -40C~125C TA","U302","FP-D0008A-IPC_B","CMP-015-00017-1","1"
"ADS1115IDGSR","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R","U400_X, U400_Y","FP-DGS0010A-MFG","CMP-015-00014-1","2"
"LMR51610XFDBVR","SIMPLE SWITCHER® power converter with 4.5V-to-65V 1A synchronous buck and 25µA quiescent current 6-SOT-23 -40 to 150","U600","SOT95P280X145-6N","CMP-019-00077-1","1"
"LM1117MPX-5.0","LDO Regulator Pos 5V 0.8A 4-Pin(3+Tab) SOT-223 T/R","U601","DCY0004A_M","CMP-019-00078-1","1"
"LM1117IMP-3.3/NOPB","LDO Regulator Pos 3.3V 0.8A 4-Pin(3+Tab) SOT-223 T/R / IC REG LDO 3.3V 0.8A SOT223","U602","DCY0004A_M","CMP-019-00080-1","1"
